owner,matchup_id,total_team_points,QB,QB_PTS,RB1,RB1_PTS,RB2,RB2_PTS,WR1,WR1_PTS,WR2,WR2_PTS,TE,TE_PTS,SF,SF_PTS,FLEX,FLEX_PTS,K,K_PTS,DEF,DEF_PTS
JD,1,109.54,Tua Tagovailoa,13.26,Bijan Robinson,19.2,Derrick Henry,17.0,Mike Williams,12.6,Michael Pittman,9.6,Evan Engram,8.7,Tyler Allgeier,4.8,4892,18.38,Harrison Butker,5.0,NYJ,1.0
Andrew,1,121.08,Daniel Jones,31.74,Rhamondre Stevenson,13.5,Aaron Jones,0.0,Tyreek Hill,12.5,A.J. Brown,4.9,Cole Kmet,5.8,Tyler Lockett,21.9,9229,17.74,Cameron Dicker,8.0,SF,5.0
Johnny,2,108.12,Jared Goff,23.92,Nick Chubb,6.4,Josh Jacobs,7.4,Amon-Ra St. Brown,11.2,Davante Adams,17.4,Tyler Higbee,2.7,Joe Mixon,11.5,4017,12.6,Graham Gano,7.0,NO,8.0
David,2,108.7,Mac Jones,14.74,Saquon Barkley,24.2,Travis Etienne,5.2,Justin Jefferson,19.4,Ja'Marr Chase,5.6,Sam LaPorta,8.8,Dameon Pierce,4.5,8162,21.26,Jason Sanders,2.0,GB,3.0
Richard,3,111.26,Joe Burrow,16.38,Kenneth Walker,17.9,Cam Akers,0.0,DK Metcalf,10.5,Terry McLaurin,13.9,George Kittle,4.5,Gus Edwards,12.2,4881,22.88,Justin Tucker,10.0,BAL,3.0
Scott,3,105.16,Russell Wilson,26.92,Breece Hall,0.9,Jahmyr Gibbs,9.1,Garrett Wilson,15.3,Jaylen Waddle,10.4,Mark Andrews,13.0,Brandon Aiyuk,5.8,8183,14.74,Younghoe Koo,8.0,DEN,1.0
Kyle,4,172.88,Josh Allen,23.66,Joshua Kelley,3.9,AJ Dillon,6.8,Deebo Samuel,19.1,Mike Evans,26.1,T.J. Hockenson,22.1,Kyren Williams,25.0,6904,26.22,Jake Elliott,9.0,PHI,11.0
Kai,4,116.26,C.J. Stroud,21.46,Christian McCaffrey,21.0,Najee Harris,4.8,Chris Godwin,8.3,Zay Flowers,8.8,Darren Waller,10.6,Alexander Mattison,3.4,8138,17.9,Evan McPherson,4.0,DAL,16.0
Tom,5,123.76,Kirk Cousins,28.56,Rachaad White,18.8,James Conner,16.6,Chris Olave,11.6,Calvin Ridley,4.2,Dallas Goedert,5.2,Miles Sanders,6.2,3294,19.6,Daniel Carlson,5.0,CLE,8.0
Dan,5,154.24,Patrick Mahomes,22.2,Raheem Mostert,25.2,Zack Moss,18.7,CeeDee Lamb,19.8,DeVonta Smith,21.1,Chigoziem Okonkwo,5.5,Darnell Mooney,0.0,7591,16.74,Riley Patterson,7.0,TB,18.0
Peter,6,92.78,Trevor Lawrence,9.24,Javonte Williams,6.8,Rashaad Penny,1.9,Drake London,15.7,Jordan Addison,14.7,Kyle Pitts,2.5,David Montgomery,11.9,1049,21.04,Jake Moody,10.0,NYG,-1.0
Henry,6,154.32,Justin Herbert,22.2,Tony Pollard,16.4,Jamaal Williams,2.9,Stefon Diggs,10.1,Tee Higgins,24.9,Travis Kelce,10.6,Keenan Allen,27.1,1373,23.12,Tyler Bass,6.0,BUF,11.0
